Calendar_Year,State,School_Period_Type,School_Period_Name,Date
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-06
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-07
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-08
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-09
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-10
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-11
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-12
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-13
2012,ACT,Holiday,Term 3 Holidays (Spring),2012-10-14
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-22
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-23
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-24
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-25
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-26
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-27
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-28
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-29
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-30
2012,ACT,Holiday,Term 4 Holidays (Summer),2012-12-31
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-01
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-02
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-03
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-04
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-05
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-06
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-07
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-08
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-09
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-10
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-11
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-12
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-13
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-14
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-15
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-16
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-17
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-18
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-19
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-20
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-21
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-22
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-23
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-24
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-25
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-26
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-27
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-28
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-29
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-30
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-01-31
2012,ACT,Holiday,Term 4 Holidays (Summer),2013-02-01
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-13
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-14
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-15
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-16
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-17
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-18
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-19
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-20
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-21
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-22
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-23
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-24
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-25
2013,ACT,Holiday,Term 1 Holidays (Autumn),2013-04-26
